Название,Цена
Яйцо столовое C0 10шт,109.99
Яйцо столовое C1 10шт,97.19
Яйцо куриное Тульская С1 10шт,113.99
Яйцо куриное Лето С2 10шт,91.99
Яйцо куриное Тульская С0 10шт,124.99
Шоколадное яйцо Kinder Макси 100г в ассортименте,449.99
