Название,Цена
Яйцо куриное Окское столовое С1 10шт.,119.99
Яйцо куриное Окское столовое СО 10шт.,139.99
Яйцо куриное Село Зеленое Деревенское С1 10шт.,119.99
Яйцо куриное Роскар Экстра СО 10шт.,139.99
Яйцо куриное Лето пищевое С1 10шт.,124.99
Яйцо куриное Лето столовое СО 10шт.,129.99
Яйцо куриное Село Зеленое Деревенское С0 10шт.,129.99
Яйцо Окское столовое С2 10шт.,94.99
Яйцо куриное Волжанин С1 белое 10шт,119.99
Яйцо Окское СВ столовое 10шт,179.99
