Название,Цена
Колбаса Вязанка Докторская вареная 400г,164.99
Колбаса Великолукский МК Докторская вареная 400г,119.99
Колбаса Папа может Говяжья вареная 400г,299.99
Колбаса Сочинский МК Молочная Мусульманская вареная 400г,219.99
Колбаса Стародворье Стародворская с окороком вареная 400г,119.99
Колбаса Сочинский МК Филейная со сливками вареная 400г,269.99
Колбаса Индилайт из филе индейки вареная 400г,194.99
Колбаса Сочинский МК Классическая с нежным окороком вареная 400г,269.99
