Дата,Продукт,Минимальная цена,Средняя цена
05-02-2025,"🧂 Сахар-песок, 1кг",90.0,200.0
12-02-2025,"🧂 Сахар-песок, 1кг",80.0,100.0
19-02-2025,"🧂 Сахар-песок, 1кг",90.0,200.0
26-02-2025,"🧂 Сахар-песок, 1кг",80.0,100.0
04-03-2025,"🧂 Сахар-песок, 1кг",59.99,70.32333333333332
05-03-2025,"🧂 Сахар-песок, 1кг",59.99,70.32333333333332
