Дата,Продукт,Минимальная цена,Средняя цена
05-02-2025,"🧈 Сливочное масло, 180гр",90.0,200.0
12-02-2025,"🧈 Сливочное масло, 180гр",80.0,100.0
19-02-2025,"🧈 Сливочное масло, 180гр",90.0,200.0
26-02-2025,"🧈 Сливочное масло, 180гр",80.0,100.0
04-03-2025,"🧈 Сливочное масло, 180гр",129.99,234.17881578947367
05-03-2025,"🧈 Сливочное масло, 180гр",129.99,230.29394736842104
06-03-2025,"🧈 Сливочное масло, 180гр",129.99,231.60322055137843
06-03-2025,"🧈 Сливочное масло, 180гр",129.99,231.60322055137843
06-03-2025,"🧈 Сливочное масло, 180гр",129.99,231.60322055137843
