Дата,Продукт,Минимальная цена,Средняя цена
05-02-2025,"🍗 Курица филе, 1кг",90.0,200.0
12-02-2025,"🍗 Курица филе, 1кг",80.0,100.0
19-02-2025,"🍗 Курица филе, 1кг",90.0,200.0
26-02-2025,"🍗 Курица филе, 1кг",80.0,100.0
04-03-2025,"🍗 Курица филе, 1кг",329.99,434.57416666666666
05-03-2025,"🍗 Курица филе, 1кг",329.99,411.215
06-03-2025,"🍗 Курица филе, 1кг",329.99,474.12833333333333
