Дата,Продукт,Минимальная цена,Средняя цена
05-02-2025,"🍲 Крупа гречневая, 800г",90.0,200.0
12-02-2025,"🍲 Крупа гречневая, 800г",80.0,100.0
19-02-2025,"🍲 Крупа гречневая, 800г",90.0,200.0
26-02-2025,"🍲 Крупа гречневая, 800г",80.0,100.0
04-03-2025,"🍲 Крупа гречневая, 800г",33.99,92.66283333333335
05-03-2025,"🍲 Крупа гречневая, 800г",33.99,93.10033333333335
06-03-2025,"🍲 Крупа гречневая, 800г",32.99,93.06075
06-03-2025,"🍲 Крупа гречневая, 800г",32.99,92.6953653846154
06-03-2025,"🍲 Крупа гречневая, 800г",32.99,92.6953653846154
