Дата,Продукт,Минимальная цена,Средняя цена
05-02-2025,"🥛 Молоко 2.5%, 1л",90.0,200.0
12-02-2025,"🥛 Молоко 2.5%, 1л",80.0,100.0
19-02-2025,"🥛 Молоко 2.5%, 1л",90.0,200.0
26-02-2025,"🥛 Молоко 2.5%, 1л",80.0,100.0
04-03-2025,"🥛 Молоко 2.5%, 1л",63.99,110.44593384502924
05-03-2025,"🥛 Молоко 2.5%, 1л",63.99,110.90054166666668
06-03-2025,"🥛 Молоко 2.5%, 1л",63.99,112.11465643274856
06-03-2025,"🥛 Молоко 2.5%, 1л",63.99,115.54450396825396
06-03-2025,"🥛 Молоко 2.5%, 1л",63.99,121.60688419117648
