Дата,Продукт,Минимальная цена,Средняя цена
05-02-2025,"🌭 Колбаса вареная, 400гр",90.0,200.0
12-02-2025,"🌭 Колбаса вареная, 400гр",80.0,100.0
19-02-2025,"🌭 Колбаса вареная, 400гр",90.0,200.0
26-02-2025,"🌭 Колбаса вареная, 400гр",80.0,100.0
04-03-2025,"🌭 Колбаса вареная, 400гр",99.99,226.78517647058823
05-03-2025,"🌭 Колбаса вареная, 400гр",99.99,215.18514583333337
