Название,Цена
Хлеб Тостовый нарезанный пшеничный Лавина 400г,73.99
Хлеб Пять злаков пшеничный Краснодарский хлебозавод №6 250г,59.99
Хлеб Пшеничный бездрожжевой нарезанный Хлеб Продукт 500г,53.99
Хлеб Столичный нарезанный Ржаной Пшеничный Краснодарский хлебозавод №6 210г,38.99
Хлеб-мини формовой Заливной пшеничный Хлеб Продукт 250г,32.99
Хлеб пшеничный нарезанный Harrys 470г,123.99
Лаваш ремесленный пшеничный Аютинский хлеб 240г,47.99
