Название,Цена
Хлеб пшеничный 390г,59.99
Хлеб сандвичный Harry's American Sandwich пшеничный нарезка 470г,123.99
Хлеб Коломенский Даниловский ржано-пшеничный нарезка 350г,67.99
Хлеб сандвичный Harry's American Sandwich пшеничный с отрубями нарезка 515 г,139.99
Хлеб Зерница ржано-пшеничный бездрожжевой нарезка 300г,57.99
