Название,Цена
Хлеб пшеничный Harry's 470г,119.9
Хлеб Harry`s Пшеничный с отрубями 515г,135.9
Хлеб Пролетарец Пшеничный 500 г,39.99
Хлеб Хлебный Дом Тостовый пшеничный 350г,69.99
Хлеб Вкусно и просто Тостовый пшеничный 320г,61.99
Ролл Русский хлеб пшеничный 200г,61.99
