Название,Цена
"Хлеб ржано-пшеничный формовой РИЖСКИЙ ХЛЕБ Бородинский, бездрожжевой, 300г",87.99
"Хлеб ржано-пшеничный КОЛОМЕНСКОЕ ДАНИЛОВСКИЙ бездрожжевой, в нарезке, 
350г",75.99
"Хлеб ржано-пшеничный подовый РИЖСКИЙ ХЛЕБ Ароматный, по старым рецептам, заварной бездрожжевой, 300г",69.99
"Хлеб ржано-пшеничный ЩЕЛКОВОХЛЕБ Первохлеб, в нарезке, 310г",44.99
"Хлеб пшеничный КОЛОМЕНСКОЕ Тостовый, 320г",66.99
"Хлеб пшеничный HARRY'S Аmerican sandwich, 470г",119.99
